canonical_id,brand,model,wattage,efficiency_rating,title,url,other_urls
psu:ant:eco500:500w,Ant,ECO500,500w,,ANT VALUE ECO500 500W ATX 2.0 Non Modular Power Supply ( 500W ),https://elitehubs.com/products/ant-value-eco500-500w-atx-2-0-non-modular-power-supply-black,
psu:ant:value_eco500:500w,Ant,Value ECO500,500w,,Ant Value ECO500 Power Supply (ECO-500),https://www.pcstudio.in/product/ant-value-eco500-power-supply/,
psu:ant_esports:650w,Ant Esports,,650w,,ANT Esports VS650L SMPS,https://mdcomputers.in/product/ant-esports-vs650l-black-smps/smps,
psu:ant_esports,Ant Esports,,,,Ant Esports VS400L SMPS,https://computechstore.in/product/ant-esports-vs400l-smps/,https://www.vedantcomputers.com/pc-components/smps/ant-value-eco500?limit=100
psu:ant_esports:eco400:400w,Ant Esports,ECO400,400w,,Ant Value ECO400 400 Watt SMPS,https://computechstore.in/product/ant-value-eco400-smps/,
psu:ant_esports:eco500:500w,Ant Esports,ECO500,500w,,Ant Value ECO500 Power Supply (ECO-500),https://computechstore.in/product/ant-value-eco500-power-supply-eco-500/,
psu:ant_esports:rx550_white,Ant Esports,RX550 White,,,Ant Esports RX550 White SMPS,https://mdcomputers.in/product/ant-esports-rx550-white-bronze-smps/smps,
psu:ant_esports:value_eco400:400w,Ant Esports,VALUE ECO400,400w,,ANT VALUE ECO400 400W Non Modular Power Supply,https://elitehubs.com/products/ant-value-eco400-400w-non-modular-power-supply,
psu:ant_esports:vs400l_value_series:400w,Ant Esports,VS400L Value Series,400w,,Ant Esports Vs400l Value Series Non Modu...,https://www.pcstudio.in/product/ant-esports-vs400l-value-series-non-modular-power-supply/,
psu:ant_esports:vs450l:450w,Ant Esports,VS450L,450w,,Ant Esports VS450L SMPS,https://mdcomputers.in/product/ant-esports-vs450l-smps/smps,https://www.vedantcomputers.com/pc-components/smps/ant-esports-vs450l-value-series-power-supply?limit=100
psu:ant_esports:vs450l,Ant Esports,VS450L,,,Ant Esports VS450L SMPS,https://computechstore.in/product/ant-esports-vs450l-smps/,
psu:ant_esports:vs450l_value_series:450w,Ant Esports,VS450L Value Series,450w,,Ant Esports Vs450L 450 Watt Value Series...,https://www.pcstudio.in/product/ant-esports-vs450l-450-watt-value-series-power-supply/,
psu:ant_esports:vs500l,Ant Esports,VS500L,,,Ant Esports VS500L SMPS,https://computechstore.in/product/ant-esports-vs500l-smps/,
psu:ant_esports:vs600l,Ant Esports,VS600L,,,Ant Esports VS600L SMPS,https://computechstore.in/product/ant-esports-vs600l-smps/,
psu:ant_esports:vs650l:650w,Ant Esports,VS650L,650w,,ANT Esports VS650L 650 Watt SMPS,https://computechstore.in/product/ant-esports-vs650l-650-watt-smps/,https://www.pcstudio.in/product/ant-esports-vs650l-650-watts-power-supply-black/ | https://elitehubs.com/products/ant-esports-vs650l-non-modular-power-supply-650w | https://www.vedantcomputers.com/pc-components/smps/ant-esports-650w-vs650l?limit=100
psu:antec:atom_v350:350w,Antec,Atom V350,350w,,Antec Atom V350 Non-Modular Power Supply,https://computechstore.in/product/antec-atom-v350-non-modular-power-supply/,
psu:antec:atom_v450_v2:450w,Antec,Atom V450 V2,450w,,Antec Atom V450 V2 SMPS,https://mdcomputers.in/product/antec-atom-v450-v2-smps/smps,https://www.pcstudio.in/product/antec-atom-v450-v2-450-watt-power-supply/ | https://computechstore.in/product/antec-atom-v450-v2-smps/ | https://shop.clarioncomputers.in/products/antec-atom-v450-v2-smps-450-watt-psu
psu:antec:atom_v550_v2:550w,Antec,Atom V550 V2,550w,,Antec Atom V550 V2 550 Watt Power Supply...,https://www.pcstudio.in/product/antec-atom-v550-v2-550-watt-power-supply/,https://elitehubs.com/products/antec-atom-v550-v2-80-bronze-non-modular-power-supply-unit-550-w | https://computechstore.in/product/antec-atom-v550-v2-smps/ | https://mdcomputers.in/product/antec-atom-v550-v2-smps/smps
psu:foxin:fps_800:250w,Foxin,FPS 800,250w,,Foxin FPS 800 250 Watts PSU (Black) Multi Protection Technology SMPS with 2 Years warranty,https://www.tpstech.in/products/foxin-fps-800-250-watt-power-supply-multi-protection-technology-smps-with-2-years-warranty,
psu:foxin:fps-500s:500w,Foxin,FPS-500S,500w,,Foxin FPS-500S 500-Watt Power Supply Multi Protection Technology SMPS with 2 Years warranty,https://www.tpstech.in/products/foxin-fps-500s-500-watt-power-supply-multi-protection-technology-smps,
psu:gamdias:kratos_e1:500w,Gamdias,KRATOS E1,500w,,GAMDIAS KRATOS E1 500W ARGB Non Modular ATX 2.0 Power Supply,https://elitehubs.com/products/gamdias-kratos-e1-500w-argb-power-supply,
psu:msi:mag_a500n-h:500w,MSI,MAG A500N-H,500w,,MSI MAG A500N-H 500 Watt SMPS,https://mdcomputers.in/product/msi-mag-a500n-h-smps/smps,https://www.vedantcomputers.com/pc-components/smps/msi-500w-mag-a500n-h?limit=100
psu:msi:meg_a1600t:1600w,MSI,MEG A1600T,1600w,,Msi Meg Ai1600T PCIE5 ATX 3.1 FULLY MODU...,https://www.pcstudio.in/product/msi-meg-ai1600t-pcie5-1600-watt-power-supply/,
psu:super_flower:leadex_titanium:2800w,Super Flower,Leadex Titanium,2800w,,Super Flower Leadex Titanium 2800W ATX 3.1 Cybenetics  Fully Modular PSU,https://www.tpstech.in/products/super-flower-leadex-titanium-2800w-atx-3-1-cybenetics-fully-modular-psu,
psu:syrotech:120w,Syrotech,,120w,,Syrotech SY‑SMPS‑4825DR 48V 2.5A DIN Rail Industrial 120W Power Supply,https://www.tpstech.in/products/syrotech-sy-smps-4825dr-48v-2-5a-smps,
psu:thermaltake:litepower:450w,Thermaltake,Litepower,450w,,Thermaltake Litepower 450 Watt SMPS,https://mdcomputers.in/product/smps/thermaltake-litepower-smps-lt-450nl2nk,
psu:thermaltake:toughpower_gf_a3_snow_gold:850w,Thermaltake,ToughPower GF A3 Snow Gold,850w,,Thermaltake ToughPower GF A3 Snow Gold 850 Watt ATX 3.1 Fully Modular SMPS,https://mdcomputers.in/product/smps/thermaltake-toughpower-gf-a3-snow-850w-gold-modular-smps?page=4,
psu:unknown:240w,Unknown,,240w,,CP PLUS CP-DPS-MD200-12D 20A 240W 12V DC Metal Case Power Supply for CCTV,https://www.tpstech.in/products/cp-plus-cp-dps-md200-12d-cctv-metal-case-power-supply,https://www.tpstech.in/products/cp-plus-cp-dps-md200p-12d-cctv-metal-case-power-supply
psu:2531:unknown,Unknown,,,,Ant Esports VS400L SMPS,https://mdcomputers.in/product/ant-esports-vs400l-smps/smps,
psu:20066:unknown,Unknown,,,,CP PLUS CP-DPS-PD16-12D 16 Channel Power Supply for CCTV Cameras,https://www.tpstech.in/products/cp-plus-cp-dps-pd16-12d-16-channel-12v-cctv-power-supply,
psu:20067:unknown,Unknown,,,,CP PLUS CP-DPS-PD04V2-12D 4 Channel Power Supply for CCTV Systems,https://www.tpstech.in/products/cp-plus-cp-dps-pd04v2-12d-4-channel-12v-cctv-power-supply,
psu:17128:unknown,Unknown,,,,Lapcare 8 Channel CCTV SMPS Multiport LCC‑306 12V 3.5A High‑Efficiency Power Supply,https://www.tpstech.in/products/lapcare-8ch-cctv-smps,
psu:14918:unknown,Unknown,,,,CLARION SMPS (JM-PS-920),https://shop.clarioncomputers.in/products/clarion-smps-jm-ps-920,
psu:17127:unknown,Unknown,,,,Lapcare LCC‑303 4 Channel CCTV SMPS 12–14.5V Multiport Power Supply with Overload Protection,https://www.tpstech.in/products/lapcare-lcc303-cctv-smps,
psu:unknown:450w,Unknown,,450w,,Lapcare LCSMPS6154 PS3 450W 24 Pin ATX Desktop Power Supply Unit,https://www.tpstech.in/products/lapcare-ps3-450w-smps,https://computechstore.in/product/consistent-ct-ps-0602-450-watts-psu/
psu:unknown:250w,Unknown,,250w,,Circle CPH698 V12-400 - 250 Watt SMPS,https://computechstore.in/product/circle-cph698-v12-400-250-watt-smps/,
psu:2530:unknown,Unknown,,,,Fingers Gamma-12-407 SMPS,https://mdcomputers.in/product/fingers-gamma-12-407-smps/smps,
psu:2568:unknown,Unknown,,,,GAMDIAS Helios P1A-650G SMPS,https://mdcomputers.in/product/gamdias-helios-p1a-650g-smps/smps?page=2,
psu:16760:unknown,Unknown,,,,Western Digital WD Green 120gb M.2  SATA SSD,https://computechstore.in/product/western-digital-wd-green-120gb/,
psu:16572:unknown,Unknown,,,,Zebronics VS550Z Premium Power Supply Black,https://computechstore.in/product/zebronics-vs550z-premium-power-supply-black/,
psu:16737:unknown,Unknown,,,,Dell WM118 Wireless Mouse (Black),https://computechstore.in/product/dell-wm118-wireless-mouse-black/,
psu:16741:unknown,Unknown,,,,Western Digital Black SN850X 2TB M.2 NVMe Gen4 SSD (with Heatsink),https://computechstore.in/product/wd_black-2tb-sn850x/,
psu:16749:unknown,Unknown,,,,MSI Pro Z790-P WIFI DDR4 Intel Motherboard,https://computechstore.in/product/msi-pro-z790-p-wifi-ddr4/,
psu:zebronics:vs500z:500w,ZEBRONICS,VS500Z,500w,,ZEBRONICS VS500Z 500W Premium Power Supply,https://computechstore.in/product/zebronics-vs500z-blk/,
psu:zebronics:zs500:500w,ZEBRONICS,ZS500,500w,,ZEBRONICS ZS500 500W Power Supply,https://computechstore.in/product/zebronics-zs500-500w-power-supply/,
psu:zebronics:zeb_vs500z:500w,Zebronics,Zeb VS500Z,500w,,ZEBRONICS Zeb VS500Z 500W Non-Modular Power Supply ( Black ),https://elitehubs.com/products/zebronics-zeb-vs500z-500w-non-modular-power-supply-black,
